hue,app_count,label_count,duration
inequality +cardinality,164,2458,0.08877300005406141
equality +cardinality,164,2458,0.006049999967217445
equality miss +cardinality,164,2458,0.004120999947190285
!existence --cardinality,164,2458,0.05111999996006489
existence --cardinality,164,2458,0.009519000072032213
notin -cardinality,164,2458,0.05513600027188659
in -cardinality,164,2458,0.015541000291705132
specific composite,164,2458,0.008785000070929527
inequality +cardinality,84,1153,0.04584900010377169
equality +cardinality,84,1153,0.007099999580532312
equality miss +cardinality,84,1153,0.003955999854952097
!existence --cardinality,84,1153,0.0346280001103878
existence --cardinality,84,1153,0.009986000135540962
notin -cardinality,84,1153,0.027596999891102314
in -cardinality,84,1153,0.00827800016850233
specific composite,84,1153,0.004846999887377024
inequality +cardinality,644,10078,0.34849199978634715
equality +cardinality,644,10078,0.005667999852448702
equality miss +cardinality,644,10078,0.004027999937534332
!existence --cardinality,644,10078,0.1746629998087883
existence --cardinality,644,10078,0.020250999834388494
notin -cardinality,644,10078,0.1322969999164343
in -cardinality,644,10078,0.025831999722868204
specific composite,644,10078,0.007500999607145786
inequality +cardinality,1284,19588,0.7343899998813868
equality +cardinality,1284,19588,0.011522999964654446
equality miss +cardinality,1284,19588,0.003971999976783991
!existence --cardinality,1284,19588,0.35877700010314584
existence --cardinality,1284,19588,0.03455600002780557
notin -cardinality,1284,19588,0.23542299959808588
in -cardinality,1284,19588,0.046190000139176846
specific composite,1284,19588,0.004975000396370888
inequality +cardinality,44,634,0.0329160001128912
equality +cardinality,44,634,0.008350000251084566
equality miss +cardinality,44,634,0.0057050003670156
!existence --cardinality,44,634,0.029209000058472157
existence --cardinality,44,634,0.02659699972718954
notin -cardinality,44,634,0.03315400006249547
in -cardinality,44,634,0.007625000085681677
specific composite,44,634,0.004452000372111797
inequality +cardinality,24,372,0.023378999903798103
equality +cardinality,24,372,0.008415999822318554
equality miss +cardinality,24,372,0.005651999730616808
!existence --cardinality,24,372,0.017171000130474567
existence --cardinality,24,372,0.00660700025036931
notin -cardinality,24,372,0.018478000070899725
in -cardinality,24,372,0.006991999689489603
specific composite,24,372,0.004040000028908253
inequality +cardinality,324,4737,0.17535200016573071
equality +cardinality,324,4737,0.007764999754726887
equality miss +cardinality,324,4737,0.004278000444173813
!existence --cardinality,324,4737,0.08543800003826618
existence --cardinality,324,4737,0.014442999847233295
notin -cardinality,324,4737,0.07212600018829107
in -cardinality,324,4737,0.017733999993652105
specific composite,324,4737,0.013394999783486128
