hue,app_count,label_count,duration
inequality +cardinality,1284,20071,0.03596200002357364
equality +cardinality,1284,20071,0.011135999578982592
equality miss +cardinality,1284,20071,0.004238000139594078
!existence --cardinality,1284,20071,0.037822000216692686
existence --cardinality,1284,20071,0.028107000049203634
notin -cardinality,1284,20071,0.03597599966451526
in -cardinality,1284,20071,0.030023999977856874
specific composite,1284,20071,0.00839999970048666
inequality +cardinality,324,5215,0.04753999970853329
equality +cardinality,324,5215,0.009223999921232462
equality miss +cardinality,324,5215,0.005615999922156334
!existence --cardinality,324,5215,0.03572099981829524
existence --cardinality,324,5215,0.020948000252246857
notin -cardinality,324,5215,0.039602999575436115
in -cardinality,324,5215,0.026109999977052212
specific composite,324,5215,0.007385999895632267
inequality +cardinality,10244,160509,0.10278499964624643
equality +cardinality,10244,160509,0.011266999877989292
equality miss +cardinality,10244,160509,0.004201999865472317
!existence --cardinality,10244,160509,0.13511900044977665
existence --cardinality,10244,160509,0.07315499987453222
notin -cardinality,10244,160509,0.1440899996086955
in -cardinality,10244,160509,0.10291100014001131
specific composite,10244,160509,0.005909999832510948
inequality +cardinality,5124,79367,0.05079599982127547
equality +cardinality,5124,79367,0.007096000015735626
equality miss +cardinality,5124,79367,0.0033770003356039524
!existence --cardinality,5124,79367,0.0799469999037683
existence --cardinality,5124,79367,0.045422999653965235
notin -cardinality,5124,79367,0.08122599963098764
in -cardinality,5124,79367,0.05724800005555153
specific composite,5124,79367,0.00892899977043271
inequality +cardinality,44,610,0.027174999937415123
equality +cardinality,44,610,0.016108999960124493
equality miss +cardinality,44,610,0.003969999961555004
!existence --cardinality,44,610,0.019943999592214823
existence --cardinality,44,610,0.019365000072866678
notin -cardinality,44,610,0.019850000273436308
in -cardinality,44,610,0.018548999913036823
specific composite,44,610,0.00791399972513318
inequality +cardinality,84,1331,0.022795999888330698
equality +cardinality,84,1331,0.007716000080108643
equality miss +cardinality,84,1331,0.0040790000930428505
!existence --cardinality,84,1331,0.020148999989032745
existence --cardinality,84,1331,0.018259999807924032
notin -cardinality,84,1331,0.020639999769628048
in -cardinality,84,1331,0.018167000263929367
specific composite,84,1331,0.006335000041872263
inequality +cardinality,2564,39862,0.03869700012728572
equality +cardinality,2564,39862,0.006083999760448933
equality miss +cardinality,2564,39862,0.0038389996625483036
!existence --cardinality,2564,39862,0.051927000284194946
existence --cardinality,2564,39862,0.033063999842852354
notin -cardinality,2564,39862,0.05032099969685078
in -cardinality,2564,39862,0.04499500012025237
specific composite,2564,39862,0.006637999787926674
inequality +cardinality,20484,318214,0.23191099986433983
equality +cardinality,20484,318214,0.00609799986705184
equality miss +cardinality,20484,318214,0.004927000030875206
!existence --cardinality,20484,318214,0.5363819999620318
existence --cardinality,20484,318214,0.5399120002985001
notin -cardinality,20484,318214,0.5219489997252822
in -cardinality,20484,318214,0.3455599998123944
specific composite,20484,318214,0.006192999891936779
inequality +cardinality,644,9955,0.028780000284314156
equality +cardinality,644,9955,0.011057000141590834
equality miss +cardinality,644,9955,0.004805999808013439
!existence --cardinality,644,9955,0.02610399993136525
existence --cardinality,644,9955,0.02397499978542328
notin -cardinality,644,9955,0.02765699988231063
in -cardinality,644,9955,0.02331200009211898
specific composite,644,9955,0.008245000150054693
inequality +cardinality,164,2279,0.02645100001245737
equality +cardinality,164,2279,0.014049000106751919
equality miss +cardinality,164,2279,0.003771000076085329
!existence --cardinality,164,2279,0.0202029999345541
existence --cardinality,164,2279,0.01690400019288063
notin -cardinality,164,2279,0.01859499979764223
in -cardinality,164,2279,0.018182999920099974
specific composite,164,2279,0.006034999620169401
inequality +cardinality,24,341,0.02032399969175458
equality +cardinality,24,341,0.0076489998027682304
equality miss +cardinality,24,341,0.004635999910533428
!existence --cardinality,24,341,0.02205100003629923
existence --cardinality,24,341,0.018325000070035458
notin -cardinality,24,341,0.019850000273436308
in -cardinality,24,341,0.018465000204741955
specific composite,24,341,0.006376999896019697
