hue,app_count,label_count,duration
inequality +cardinality,10244,157555,0.09564700024202466
equality +cardinality,10244,157555,0.008801999967545271
equality miss +cardinality,10244,157555,0.007000999990850687
!existence --cardinality,10244,157555,0.12640300020575523
existence --cardinality,10244,157555,0.0844220002181828
notin -cardinality,10244,157555,0.1600659997202456
in -cardinality,10244,157555,0.1030689999461174
specific composite,10244,157555,0.010453999973833561
inequality +cardinality,2564,40130,0.04234699998050928
equality +cardinality,2564,40130,0.014081000350415707
equality miss +cardinality,2564,40130,0.007327999919652939
!existence --cardinality,2564,40130,0.04500399995595217
existence --cardinality,2564,40130,0.021535000298172235
notin -cardinality,2564,40130,0.04585899971425533
in -cardinality,2564,40130,0.034575000405311584
specific composite,2564,40130,0.011152999941259623
inequality +cardinality,644,9533,0.020314000081270933
equality +cardinality,644,9533,0.0101200002245605
equality miss +cardinality,644,9533,0.00573199987411499
!existence --cardinality,644,9533,0.022317999973893166
existence --cardinality,644,9533,0.011369999963790178
notin -cardinality,644,9533,0.019379999954253435
in -cardinality,644,9533,0.014173000119626522
specific composite,644,9533,0.008491999935358763
inequality +cardinality,1284,19786,0.023775999899953604
equality +cardinality,1284,19786,0.00798399979248643
equality miss +cardinality,1284,19786,0.005193999968469143
!existence --cardinality,1284,19786,0.026333000045269728
existence --cardinality,1284,19786,0.017229000106453896
notin -cardinality,1284,19786,0.03423900017514825
in -cardinality,1284,19786,0.01641299994662404
specific composite,1284,19786,0.008282999973744154
inequality +cardinality,20484,316952,0.3142240000888705
equality +cardinality,20484,316952,0.02026600018143654
equality miss +cardinality,20484,316952,0.008194999769330025
!existence --cardinality,20484,316952,0.5219299998134375
existence --cardinality,20484,316952,0.3067279998213053
notin -cardinality,20484,316952,0.42791800014674664
in -cardinality,20484,316952,0.2942500002682209
specific composite,20484,316952,0.012768000364303589
inequality +cardinality,44,579,0.012577999848872423
equality +cardinality,44,579,0.011986999772489071
equality miss +cardinality,44,579,0.006253000348806381
!existence --cardinality,44,579,0.0126740001142025
existence --cardinality,44,579,0.008574000094085932
notin -cardinality,44,579,0.014276999980211258
in -cardinality,44,579,0.010997000150382519
specific composite,44,579,0.010640999767929316
inequality +cardinality,5124,78468,0.05706499982625246
equality +cardinality,5124,78468,0.009996999986469746
equality miss +cardinality,5124,78468,0.006155000068247318
!existence --cardinality,5124,78468,0.07380700018256903
existence --cardinality,5124,78468,0.053687999956309795
notin -cardinality,5124,78468,0.075549999717623
in -cardinality,5124,78468,0.062351999804377556
specific composite,5124,78468,0.010346999857574701
inequality +cardinality,324,4939,0.014545999933034182
equality +cardinality,324,4939,0.010027999989688396
equality miss +cardinality,324,4939,0.005474000237882137
!existence --cardinality,324,4939,0.014828999992460012
existence --cardinality,324,4939,0.011787000112235546
notin -cardinality,324,4939,0.02077100006863475
in -cardinality,324,4939,0.013454999774694443
specific composite,324,4939,0.008435000199824572
inequality +cardinality,164,2603,0.02565000019967556
equality +cardinality,164,2603,0.010478999931365252
equality miss +cardinality,164,2603,0.007468999829143286
!existence --cardinality,164,2603,0.026890000328421593
existence --cardinality,164,2603,0.010142999701201916
notin -cardinality,164,2603,0.02207599999383092
in -cardinality,164,2603,0.009728999808430672
specific composite,164,2603,0.014123000204563141
inequality +cardinality,24,292,0.01654599979519844
equality +cardinality,24,292,0.00978600000962615
equality miss +cardinality,24,292,0.007933000102639198
!existence --cardinality,24,292,0.008666999638080597
existence --cardinality,24,292,0.008026999887079
notin -cardinality,24,292,0.011907000094652176
in -cardinality,24,292,0.008441000245511532
specific composite,24,292,0.011094999965280294
inequality +cardinality,84,1292,0.016162999905645847
equality +cardinality,84,1292,0.014797999989241362
equality miss +cardinality,84,1292,0.01143199997022748
!existence --cardinality,84,1292,0.012915999628603458
existence --cardinality,84,1292,0.010849999729543924
notin -cardinality,84,1292,0.015423999633640051
in -cardinality,84,1292,0.011243999935686588
specific composite,84,1292,0.015478999819606543
