hue,app_count,label_count,duration
inequality +cardinality,644,9911,0.01423799991607666
equality +cardinality,644,9911,0.009039999917149544
equality miss +cardinality,644,9911,0.005804000189527869
!existence --cardinality,644,9911,0.013522999826818705
existence --cardinality,644,9911,0.008519999915733933
notin -cardinality,644,9911,0.015073999995365739
in -cardinality,644,9911,0.009391999803483486
specific composite,644,9911,0.017545999959111214
inequality +cardinality,1284,19844,0.02049599983729422
equality +cardinality,1284,19844,0.006639000028371811
equality miss +cardinality,1284,19844,0.006414000177755952
!existence --cardinality,1284,19844,0.018638000125065446
existence --cardinality,1284,19844,0.010603000177070498
notin -cardinality,1284,19844,0.017804000061005354
in -cardinality,1284,19844,0.009928000159561634
specific composite,1284,19844,0.01070999982766807
inequality +cardinality,2564,39431,0.03213900001719594
equality +cardinality,2564,39431,0.012368000112473965
equality miss +cardinality,2564,39431,0.007176999934017658
!existence --cardinality,2564,39431,0.03317199996672571
existence --cardinality,2564,39431,0.01321300002746284
notin -cardinality,2564,39431,0.040779999922961
in -cardinality,2564,39431,0.01730199996381998
specific composite,2564,39431,0.013901000143960118
inequality +cardinality,44,580,0.006828000070527196
equality +cardinality,44,580,0.005721000023186207
equality miss +cardinality,44,580,0.005903000012040138
!existence --cardinality,44,580,0.005655999993905425
existence --cardinality,44,580,0.004737999988719821
notin -cardinality,44,580,0.008870000019669533
in -cardinality,44,580,0.006213999819010496
specific composite,44,580,0.013240000000223517
inequality +cardinality,24,276,0.005801000166684389
equality +cardinality,24,276,0.005301999859511852
equality miss +cardinality,24,276,0.005828999914228916
!existence --cardinality,24,276,0.004672999959439039
existence --cardinality,24,276,0.006816999986767769
notin -cardinality,24,276,0.004887999966740608
in -cardinality,24,276,0.006576000014320016
specific composite,24,276,0.009712999919429421
inequality +cardinality,324,4831,0.009469000156968832
equality +cardinality,324,4831,0.008731999900192022
equality miss +cardinality,324,4831,0.0050669999327510595
!existence --cardinality,324,4831,0.01157900015823543
existence --cardinality,324,4831,0.00788799999281764
notin -cardinality,324,4831,0.01140000019222498
in -cardinality,324,4831,0.006269000004976988
specific composite,324,4831,0.00828499998897314
inequality +cardinality,164,2453,0.00801099999807775
equality +cardinality,164,2453,0.005313999950885773
equality miss +cardinality,164,2453,0.005507000023499131
!existence --cardinality,164,2453,0.006999999983236194
existence --cardinality,164,2453,0.0059380000457167625
notin -cardinality,164,2453,0.01207799999974668
in -cardinality,164,2453,0.005911999847739935
specific composite,164,2453,0.006076999939978123
inequality +cardinality,84,1252,0.005474000005051494
equality +cardinality,84,1252,0.005475000012665987
equality miss +cardinality,84,1252,0.004535999847576022
!existence --cardinality,84,1252,0.005609999876469374
existence --cardinality,84,1252,0.006864999886602163
notin -cardinality,84,1252,0.006487999809905887
in -cardinality,84,1252,0.006224999902769923
specific composite,84,1252,0.010799999814480543
