hue,app_count,label_count,duration
inequality +cardinality,24,249,0.06278599984943867
equality +cardinality,24,249,0.01719100004993379
equality miss +cardinality,24,249,0.00471000000834465
!existence --cardinality,24,249,0.05164700001478195
existence --cardinality,24,249,0.02839599992148578
notin -cardinality,24,249,0.025519999908283353
in -cardinality,24,249,0.040015000151470304
specific composite,24,249,0.007368999999016523
inequality +cardinality,644,10094,0.09330299985595047
equality +cardinality,644,10094,0.009017999982461333
equality miss +cardinality,644,10094,0.0040420000441372395
!existence --cardinality,644,10094,0.08917899988591671
existence --cardinality,644,10094,0.08386499993503094
notin -cardinality,644,10094,0.10953400004655123
in -cardinality,644,10094,0.08465899992734194
specific composite,644,10094,0.005282000172883272
inequality +cardinality,1284,20258,0.13549500005319715
equality +cardinality,1284,20258,0.014608999947085977
equality miss +cardinality,1284,20258,0.003946000011637807
!existence --cardinality,1284,20258,0.11545899999327958
existence --cardinality,1284,20258,0.11310099996626377
notin -cardinality,1284,20258,0.1146770000923425
in -cardinality,1284,20258,0.1148959998972714
specific composite,1284,20258,0.007999000139534473
inequality +cardinality,44,536,0.09670499991625547
equality +cardinality,44,536,0.013908999972045422
equality miss +cardinality,44,536,0.004917999962344766
!existence --cardinality,44,536,0.06345200003124774
existence --cardinality,44,536,0.05616799998097122
notin -cardinality,44,536,0.04371599992737174
in -cardinality,44,536,0.10112899984233081
specific composite,44,536,0.018272999906912446
inequality +cardinality,324,4975,0.11872899997979403
equality +cardinality,324,4975,0.012681000167503953
equality miss +cardinality,324,4975,0.004983000224456191
!existence --cardinality,324,4975,0.10765799996443093
existence --cardinality,324,4975,0.1073359998408705
notin -cardinality,324,4975,0.09869199991226196
in -cardinality,324,4975,0.09969599987380207
specific composite,324,4975,0.005563999991863966
inequality +cardinality,20484,317138,4.632329000160098
equality +cardinality,20484,317138,0.02872100006788969
equality miss +cardinality,20484,317138,0.00506300013512373
!existence --cardinality,20484,317138,3.449256000109017
existence --cardinality,20484,317138,3.241718999808654
notin -cardinality,20484,317138,2.6350980000570416
in -cardinality,20484,317138,3.839297999860719
specific composite,20484,317138,0.03396200016140938
inequality +cardinality,84,1283,0.10889099980704486
equality +cardinality,84,1283,0.017173999920487404
equality miss +cardinality,84,1283,0.005516999866813421
!existence --cardinality,84,1283,0.08844599989242852
existence --cardinality,84,1283,0.08703000005334616
notin -cardinality,84,1283,0.07084800000302494
in -cardinality,84,1283,0.09436300001107156
specific composite,84,1283,0.0049390001222491264
inequality +cardinality,10244,158623,1.3153989999555051
equality +cardinality,10244,158623,0.012438999954611063
equality miss +cardinality,10244,158623,0.004360999912023544
!existence --cardinality,10244,158623,1.0063259999733418
existence --cardinality,10244,158623,0.9420509999617934
notin -cardinality,10244,158623,0.8183270001318306
in -cardinality,10244,158623,1.1028340000193566
specific composite,10244,158623,0.013910999987274408
inequality +cardinality,2564,39926,0.2003699999768287
equality +cardinality,2564,39926,0.00824499991722405
equality miss +cardinality,2564,39926,0.004531999817118049
!existence --cardinality,2564,39926,0.17460599984042346
existence --cardinality,2564,39926,0.154575000051409
notin -cardinality,2564,39926,0.15983699983917177
in -cardinality,2564,39926,0.1744509998243302
specific composite,2564,39926,0.013833000091835856
inequality +cardinality,164,2572,0.09057500003837049
equality +cardinality,164,2572,0.014223000034689903
equality miss +cardinality,164,2572,0.004531999817118049
!existence --cardinality,164,2572,0.09322399995289743
existence --cardinality,164,2572,0.0857929999474436
notin -cardinality,164,2572,0.09582599997520447
in -cardinality,164,2572,0.08989599999040365
specific composite,164,2572,0.006382000166922808
inequality +cardinality,5124,79177,0.5279030001256615
equality +cardinality,5124,79177,0.007883999962359667
equality miss +cardinality,5124,79177,0.003777999896556139
!existence --cardinality,5124,79177,0.34687599982135
existence --cardinality,5124,79177,0.3042020001448691
notin -cardinality,5124,79177,0.2821029999759048
in -cardinality,5124,79177,0.3659149999730289
specific composite,5124,79177,0.008952999953180552
