hue,app_count,label_count,duration
inequality +cardinality,40964,634991,0.3948329999111593
equality +cardinality,40964,634991,0.0077309999614953995
equality miss +cardinality,40964,634991,0.0053809997625648975
!existence --cardinality,40964,634991,0.33935899985954165
existence --cardinality,40964,634991,0.7380619999021292
notin -cardinality,40964,634991,0.38813399989157915
in -cardinality,40964,634991,1.0189879997633398
specific composite,40964,634991,111.87858500005677
inequality +cardinality,44,661,0.012234999798238277
equality +cardinality,44,661,0.010294000152498484
equality miss +cardinality,44,661,0.008710999973118305
!existence --cardinality,44,661,0.011018999852240086
existence --cardinality,44,661,0.009829000104218721
notin -cardinality,44,661,0.010493999812752008
in -cardinality,44,661,0.009922000113874674
specific composite,44,661,0.03614800004288554
inequality +cardinality,324,4722,0.018457000143826008
equality +cardinality,324,4722,0.009358999785035849
equality miss +cardinality,324,4722,0.00737700005993247
!existence --cardinality,324,4722,0.024638000410050154
existence --cardinality,324,4722,0.00929300021380186
notin -cardinality,324,4722,0.014422999694943428
in -cardinality,324,4722,0.0109140002168715
specific composite,324,4722,0.0480110002681613
inequality +cardinality,84,1195,0.009091999847441912
equality +cardinality,84,1195,0.009519000072032213
equality miss +cardinality,84,1195,0.007440000306814909
!existence --cardinality,84,1195,0.010307000018656254
existence --cardinality,84,1195,0.009375999681651592
notin -cardinality,84,1195,0.010528000071644783
in -cardinality,84,1195,0.010534000117331743
specific composite,84,1195,0.041341000236570835
inequality +cardinality,1284,19807,0.017688000109046698
equality +cardinality,1284,19807,0.007151000201702118
equality miss +cardinality,1284,19807,0.005994999781250954
!existence --cardinality,1284,19807,0.029393999837338924
existence --cardinality,1284,19807,0.00800199992954731
notin -cardinality,1284,19807,0.02348299976438284
in -cardinality,1284,19807,0.024000999983400106
specific composite,1284,19807,0.039028000086545944
inequality +cardinality,164,2551,0.02048699976876378
equality +cardinality,164,2551,0.009223999921232462
equality miss +cardinality,164,2551,0.007172999903559685
!existence --cardinality,164,2551,0.024941999930888414
existence --cardinality,164,2551,0.009630999993532896
notin -cardinality,164,2551,0.017669999971985817
in -cardinality,164,2551,0.011225999798625708
specific composite,164,2551,0.04431499959900975
inequality +cardinality,20484,317685,1.5600040000863373
equality +cardinality,20484,317685,1.3569149998947978
equality miss +cardinality,20484,317685,1.3522649998776615
!existence --cardinality,20484,317685,1.5517859999090433
existence --cardinality,20484,317685,1.3730290001258254
notin -cardinality,20484,317685,1.5611490001901984
in -cardinality,20484,317685,1.3987040002830327
specific composite,20484,317685,1.9345639999955893
