hue,app_count,label_count,duration
inequality +cardinality,164,2482,0.012893000151962042
equality +cardinality,164,2482,0.010076000355184078
equality miss +cardinality,164,2482,0.007559000048786402
!existence --cardinality,164,2482,0.013346999883651733
existence --cardinality,164,2482,0.013402000069618225
notin -cardinality,164,2482,0.01228999998420477
in -cardinality,164,2482,0.01069300016388297
specific composite,164,2482,0.013296999968588352
inequality +cardinality,324,4946,0.02968099992722273
equality +cardinality,324,4946,0.011082999873906374
equality miss +cardinality,324,4946,0.008402999956160784
!existence --cardinality,324,4946,0.017218000255525112
existence --cardinality,324,4946,0.01746599981561303
notin -cardinality,324,4946,0.0293270000256598
in -cardinality,324,4946,0.030447000171989202
specific composite,324,4946,0.02485799975693226
inequality +cardinality,20484,316161,0.15601199958473444
equality +cardinality,20484,316161,0.01054299995303154
equality miss +cardinality,20484,316161,0.007660999894142151
!existence --cardinality,20484,316161,0.32123300014063716
existence --cardinality,20484,316161,0.03143100021407008
notin -cardinality,20484,316161,0.1763340001925826
in -cardinality,20484,316161,0.24822999956086278
specific composite,20484,316161,0.03968700021505356
inequality +cardinality,84,1335,0.011365999933332205
equality +cardinality,84,1335,0.010400000028312206
equality miss +cardinality,84,1335,0.010517000220716
!existence --cardinality,84,1335,0.013325999956578016
existence --cardinality,84,1335,0.011562999803572893
notin -cardinality,84,1335,0.014945000410079956
in -cardinality,84,1335,0.016594999935477972
specific composite,84,1335,0.036529999691993
inequality +cardinality,44,663,0.010772999841719866
equality +cardinality,44,663,0.009874999988824129
equality miss +cardinality,44,663,0.009204000234603882
!existence --cardinality,44,663,0.01495700003579259
existence --cardinality,44,663,0.013284000102430582
notin -cardinality,44,663,0.013902999926358461
in -cardinality,44,663,0.010034999810159206
specific composite,44,663,0.035768999718129635
inequality +cardinality,644,9778,0.016245999839156866
equality +cardinality,644,9778,0.010569999925792217
equality miss +cardinality,644,9778,0.007354999892413616
!existence --cardinality,644,9778,0.019863999914377928
existence --cardinality,644,9778,0.009943000040948391
notin -cardinality,644,9778,0.02118799975141883
in -cardinality,644,9778,0.009781999979168177
specific composite,644,9778,0.043846999760717154
inequality +cardinality,5124,80067,0.05560299986973405
equality +cardinality,5124,80067,0.01042299997061491
equality miss +cardinality,5124,80067,0.01017000013962388
!existence --cardinality,5124,80067,0.09277600003406405
existence --cardinality,5124,80067,0.020025999750941992
notin -cardinality,5124,80067,0.057243000250309706
in -cardinality,5124,80067,0.06650499999523163
specific composite,5124,80067,0.03809100016951561
inequality +cardinality,2564,39512,0.023779999930411577
equality +cardinality,2564,39512,0.005896999966353178
equality miss +cardinality,2564,39512,0.0060800001956522465
!existence --cardinality,2564,39512,0.04218500014394522
existence --cardinality,2564,39512,0.009601000230759382
notin -cardinality,2564,39512,0.028092999942600727
in -cardinality,2564,39512,0.013275000266730785
specific composite,2564,39512,0.029826000332832336
inequality +cardinality,10244,159359,0.7335689999163151
equality +cardinality,10244,159359,0.010873000137507915
equality miss +cardinality,10244,159359,0.014560000039637089
!existence --cardinality,10244,159359,0.7015700000338256
existence --cardinality,10244,159359,0.23883099993690848
notin -cardinality,10244,159359,0.7010669996961951
in -cardinality,10244,159359,0.24004400009289384
specific composite,10244,159359,17.003639000002295
inequality +cardinality,24,357,0.015549999661743641
equality +cardinality,24,357,0.0108149996958673
equality miss +cardinality,24,357,0.02001299988478422
!existence --cardinality,24,357,0.01988800009712577
existence --cardinality,24,357,0.013659999705851078
notin -cardinality,24,357,0.021662000101059675
in -cardinality,24,357,0.010770999826490879
specific composite,24,357,0.0362249999307096
inequality +cardinality,1284,20005,0.06402299972251058
equality +cardinality,1284,20005,0.05114400014281273
equality miss +cardinality,1284,20005,0.05415300000458956
!existence --cardinality,1284,20005,0.07311000023037195
existence --cardinality,1284,20005,0.7527629998512566
notin -cardinality,1284,20005,0.06677599996328354
in -cardinality,1284,20005,1.65235499991104
specific composite,1284,20005,0.6812579999677837
