hue,app_count,label_count,duration
inequality +cardinality,2564,40057,0.03512999997474253
equality +cardinality,2564,40057,0.01775999995879829
equality miss +cardinality,2564,40057,0.011556999990716577
!existence --cardinality,2564,40057,0.03454799996688962
existence --cardinality,2564,40057,0.018009999999776483
notin -cardinality,2564,40057,0.03707499988377094
in -cardinality,2564,40057,0.02022799989208579
specific composite,2564,40057,0.026945999823510647
inequality +cardinality,44,645,0.005530999973416328
equality +cardinality,44,645,0.004359999904409051
equality miss +cardinality,44,645,0.003790000220760703
!existence --cardinality,44,645,0.005134999984875321
existence --cardinality,44,645,0.004430000204592943
notin -cardinality,44,645,0.00471999985165894
in -cardinality,44,645,0.004673999967053533
specific composite,44,645,0.004684000043198466
inequality +cardinality,84,1254,0.00533400010317564
equality +cardinality,84,1254,0.005541000049561262
equality miss +cardinality,84,1254,0.0040420000441372395
!existence --cardinality,84,1254,0.005439999978989363
existence --cardinality,84,1254,0.0059559999499469995
notin -cardinality,84,1254,0.005302000092342496
in -cardinality,84,1254,0.004425000166520476
specific composite,84,1254,0.00927500007674098
inequality +cardinality,1284,20040,0.01980200014077127
equality +cardinality,1284,20040,0.01145999995060265
equality miss +cardinality,1284,20040,0.007822000188753009
!existence --cardinality,1284,20040,0.01975400000810623
existence --cardinality,1284,20040,0.011694000102579594
notin -cardinality,1284,20040,0.02095600008033216
in -cardinality,1284,20040,0.012870999984443188
specific composite,1284,20040,0.018121999921277165
inequality +cardinality,24,302,0.005777999991551042
equality +cardinality,24,302,0.0041519999504089355
equality miss +cardinality,24,302,0.0036879999097436666
!existence --cardinality,24,302,0.004850999917834997
existence --cardinality,24,302,0.004340000217780471
notin -cardinality,24,302,0.0046640001237392426
in -cardinality,24,302,0.004477000096812844
specific composite,24,302,0.004920999985188246
inequality +cardinality,644,10104,0.011938000097870827
equality +cardinality,644,10104,0.008111000061035156
equality miss +cardinality,644,10104,0.005781000014394522
!existence --cardinality,644,10104,0.012070999946445227
existence --cardinality,644,10104,0.007901999866589904
notin -cardinality,644,10104,0.012572000036016107
in -cardinality,644,10104,0.00876100012101233
specific composite,644,10104,0.00989999994635582
inequality +cardinality,324,5024,0.008410000009462237
equality +cardinality,324,5024,0.00571500021032989
equality miss +cardinality,324,5024,0.004526000004261732
!existence --cardinality,324,5024,0.008586999960243702
existence --cardinality,324,5024,0.006086000008508563
notin -cardinality,324,5024,0.00861699995584786
in -cardinality,324,5024,0.0062049999833106995
specific composite,324,5024,0.010371000040322542
inequality +cardinality,164,2507,0.006057000020518899
equality +cardinality,164,2507,0.004932000068947673
equality miss +cardinality,164,2507,0.004447000101208687
!existence --cardinality,164,2507,0.006406000116840005
existence --cardinality,164,2507,0.005474000005051494
notin -cardinality,164,2507,0.006292999954894185
in -cardinality,164,2507,0.005563000217080116
specific composite,164,2507,0.008409000001847744
